time,open,high,low,close,volume,_target_
1313625600,10.9,10.9,10.9,10.9,0.48990826,NaN
1313712000,11.85,11.85,11.15,11.69,1.92657814,-22.8571428571429
1313798400,11.7,11.7,11.7,11.7,0.08547009,NaN
1313884800,11.7,11.7,11.7,11.7,0.08547009,NaN
1313971200,11.7,11.7,11.7,11.7,0.02863249,NaN
1314144000,11.5,11.5,10.5,10.5,2.35652174,-100
1314230400,10,10,10,10,1.1,NaN
1314662400,8,8,8,8,1,NaN
1314835200,8,8.31,5.25,8.22,164.48,-2.94117647058823
1314921600,8.12,8.88,8,8.88,79.76,0
1315094400,8.89,8.89,8.89,8.89,0.20022497,NaN
1315267200,8,8,8,8,21,NaN
1315353600,8.5,8.5,8.5,8.5,3,NaN
1315440000,7.98,7.98,7.4,7.4,6.86,-100
1315872000,5.8,6,5.65,5.97,58.37138238,-8.571428571428651
1315958400,5.58,5.72,5.52,5.53,61.14598362,-94.99999999999967
1316044800,5.12,5.24,5,5.13,80.1407952,-45.83333333333343
1316131200,4.82,4.87,4.8,4.85,39.9140068,-28.571428571429117
1316217600,4.87,4.87,4.87,4.87,0.3,NaN
1316304000,4.87,4.92,4.81,4.92,119.8128,0
1316390400,4.9,4.9,4.9,4.9,20,NaN
1316476800,4.92,5.66,4.92,5.66,89.28071068,0
1316563200,5.7,5.79,5.66,5.66,17.62932238,-100
1316649600,5.68,5.72,5.68,5.72,43.77842238,0
1316736000,5.7,5.72,5.7,5.72,20.68003681,0
1316822400,5.7,5.76,5.68,5.68,90.58706633,-100
1316908800,6.05,6.05,6.05,6.05,12.22,NaN
1316995200,6.06,6.06,4.8,4.8,39.57846334,-100
1317081600,4.85,4.92,4.85,4.92,24.3545,0
1317168000,4.9,4.91,4.82,4.82,83.0533258,-100
1317254400,4.81,4.82,4.81,4.82,46.9645,0
1317600000,4.85,4.87,4.83,4.87,30.57595,0
1317686400,4.86,5.3,4.8,4.98,142.52162238,-63.99999999999988
1317772800,4.92,6.25,4.8,4.92,113.72,-91.72413793103448
1317859200,4.88,4.99,4.8,4.8,170.84354937,-100
1317945600,4.8,4.81,4.59,4.61,94.64,-90.9090909090907
1318032000,4.57,4.57,3.99,3.99,56,-100
1318118400,3.89,3.89,3.89,3.89,11,NaN
1318204800,3.99,4.51,3.99,4.51,132.5,0
1318291200,3.98,4.1,3.98,4.1,78.08,0
1318377600,3.95,3.99,3.93,3.93,79.523525,-100
1318464000,3.93,3.97,3.93,3.97,109.621766,0
1318550400,4.05,4.05,4.05,4.05,96.97751266,NaN
1318809600,3.92,3.92,3.92,3.92,10.24,NaN
1319068800,2.22,2.29,2.22,2.24,61.972332,-71.42857142857133
1319155200,2.22,2.27,2.22,2.27,41.46334066,0
1319414400,2.99,2.99,2.92,2.92,64.54,-100
1319500800,2.66,2.72,2.66,2.72,130.29932366,0
1319587200,2.72,3,2.67,2.69,268.2689727,-93.93939393939394
1319760000,3.07,4.36,3.07,4.2,118.37787266,-12.403100775193804
1319846400,3.69,4.4,3.69,3.95,88.432425,-63.380281690140826
1319932800,3.85,3.85,3.2,3.5,116.381395,-53.84615384615386
1320019200,3.25,3.55,3.2,3.3,68.99404308,-71.4285714285715
1320105600,3.32,3.33,3.32,3.33,38.7771206,0
1320364800,3.27,3.55,3.21,3.55,117.08103867,0
1320451200,3.21,3.21,3,3,103.512,-100
1320537600,2.95,2.95,2.95,2.95,203.388,NaN
1320710400,3.08,3.08,3.08,3.08,47.47212389,NaN
1320796800,3.09,3.3,3.09,3.3,58.86052015,0
1320883200,3.25,3.3,2.95,3.3,121.66777314,0
1320969600,3.3,3.3,3.3,3.3,65.434,NaN
1321056000,3.35,3.35,3.35,3.35,2.79,NaN
1321142400,3.35,3.35,3.35,3.35,29.48955224,NaN
1321228800,2.95,2.95,2.47,2.47,183.4,-100
1321315200,2.99,3,2.5,2.5,97.3416118,-100
1321401600,2.51,3,2.51,3,5.61666667,0
1321488000,3,3,2.5,2.99,17.01862876,-1.9999999999999574
1321574400,2.5,2.79,2.5,2.5,88.44,-100
1321660800,2.5,2.5,2.43,2.43,48.87212355,-100
1321747200,2.37,2.37,2.37,2.37,11,NaN
1321833600,2.45,3,2.25,2.25,290.52677579,-100
1321920000,2.53,2.59,2.46,2.59,328.49334597,0
1322092800,2.54,3,2.54,3,9.1446088,0
1322179200,2.5,15,2.5,2.75,179.78726599,-98
1322265600,2.77,2.77,2.77,2.77,10.09025271,NaN
1322438400,2.67,2.78,2.66,2.66,180.36714898,-100
1322524800,2.69,3.23,2.69,2.72,62.46464882,-94.4444444444444
