time,open,high,low,close,volume,_target_
1313625600,10.9,10.9,10.9,10.9,0.48990826,0
1313712000,11.85,11.85,11.15,11.69,1.92657814,1.0458567045714269
1313798400,11.7,11.7,11.7,11.7,0.08547009,1.0458567045714269
1313884800,11.7,11.7,11.7,11.7,0.08547009,1.0458567045714269
1313971200,11.7,11.7,11.7,11.7,0.02863249,1.0458567045714269
1314144000,11.5,11.5,10.5,10.5,2.35652174,-1.310665035428573
1314230400,10,10,10,10,1.1,-1.310665035428573
1314662400,8,8,8,8,1,-1.310665035428573
1314835200,8,8.31,5.25,8.22,164.48,153.49404084692438
1314921600,8.12,8.88,8,8.88,79.76,233.2540408469244
1315094400,8.89,8.89,8.89,8.89,0.20022497,233.2540408469244
1315267200,8,8,8,8,21,233.2540408469244
1315353600,8.5,8.5,8.5,8.5,3,233.2540408469244
1315440000,7.98,7.98,7.4,7.4,6.86,226.39404084692438
1315872000,5.8,6,5.65,5.97,58.37138238,274.75890053321
1315958400,5.58,5.72,5.52,5.53,61.14598362,219.7275152752104
1316044800,5.12,5.24,5,5.13,80.1407952,226.40591487521027
1316131200,4.82,4.87,4.8,4.85,39.9140068,243.51191778949556
1316217600,4.87,4.87,4.87,4.87,0.3,243.51191778949556
1316304000,4.87,4.92,4.81,4.92,119.8128,363.32471778949554
1316390400,4.9,4.9,4.9,4.9,20,363.32471778949554
1316476800,4.92,5.66,4.92,5.66,89.28071068,452.60542846949556
1316563200,5.7,5.79,5.66,5.66,17.62932238,434.97610608949554
1316649600,5.68,5.72,5.68,5.72,43.77842238,478.75452846949554
1316736000,5.7,5.72,5.7,5.72,20.68003681,499.43456527949553
1316822400,5.7,5.76,5.68,5.68,90.58706633,408.8474989494955
1316908800,6.05,6.05,6.05,6.05,12.22,408.8474989494955
1316995200,6.06,6.06,4.8,4.8,39.57846334,369.2690356094955
1317081600,4.85,4.92,4.85,4.92,24.3545,393.62353560949555
1317168000,4.9,4.91,4.82,4.82,83.0533258,310.57020980949557
1317254400,4.81,4.82,4.81,4.82,46.9645,357.53470980949555
1317600000,4.85,4.87,4.83,4.87,30.57595,388.11065980949553
1317686400,4.86,5.3,4.8,4.98,142.52162238,348.20460554309585
1317772800,4.92,6.25,4.8,4.92,113.72,253.30722623275102
1317859200,4.88,4.99,4.8,4.8,170.84354937,82.46367686275102
1317945600,4.8,4.81,4.59,4.61,94.64,5.030949590024164
1318032000,4.57,4.57,3.99,3.99,56,-50.969050409975836
1318118400,3.89,3.89,3.89,3.89,11,-50.969050409975836
1318204800,3.99,4.51,3.99,4.51,132.5,81.53094959002416
1318291200,3.98,4.1,3.98,4.1,78.08,159.61094959002418
1318377600,3.95,3.99,3.93,3.93,79.523525,80.08742459002417
1318464000,3.93,3.97,3.93,3.97,109.621766,189.70919059002415
1318550400,4.05,4.05,4.05,4.05,96.97751266,189.70919059002415
1318809600,3.92,3.92,3.92,3.92,10.24,189.70919059002415
1319068800,2.22,2.29,2.22,2.24,61.972332,163.1496197328814
1319155200,2.22,2.27,2.22,2.27,41.46334066,204.6129603928814
1319414400,2.99,2.99,2.92,2.92,64.54,140.07296039288138
1319500800,2.66,2.72,2.66,2.72,130.29932366,270.37228405288135
1319587200,2.72,3,2.67,2.69,268.2689727,34.620762589245004
1319760000,3.07,4.36,3.07,4.2,118.37787266,123.63358156614422
1319846400,3.69,4.4,3.69,3.95,88.432425,99.96856642529917
1319932800,3.85,3.85,3.2,3.5,116.381395,91.01615142529913
1320019200,3.25,3.55,3.2,3.3,68.99404308,61.447275819584746
1320105600,3.32,3.33,3.32,3.33,38.7771206,100.22439641958475
1320364800,3.27,3.55,3.21,3.55,117.08103867,217.30543508958476
1320451200,3.21,3.21,3,3,103.512,113.79343508958476
1320537600,2.95,2.95,2.95,2.95,203.388,113.79343508958476
1320710400,3.08,3.08,3.08,3.08,47.47212389,113.79343508958476
1320796800,3.09,3.3,3.09,3.3,58.86052015,172.65395523958477
1320883200,3.25,3.3,2.95,3.3,121.66777314,294.3217283795848
1320969600,3.3,3.3,3.3,3.3,65.434,294.3217283795848
1321056000,3.35,3.35,3.35,3.35,2.79,294.3217283795848
1321142400,3.35,3.35,3.35,3.35,29.48955224,294.3217283795848
1321228800,2.95,2.95,2.47,2.47,183.4,110.92172837958478
1321315200,2.99,3,2.5,2.5,97.3416118,13.580116579584782
1321401600,2.51,3,2.51,3,5.61666667,19.196783249584783
1321488000,3,3,2.5,2.99,17.01862876,35.534666859184796
1321574400,2.5,2.79,2.5,2.5,88.44,-52.9053331408152
1321660800,2.5,2.5,2.43,2.43,48.87212355,-101.7774566908152
1321747200,2.37,2.37,2.37,2.37,11,-101.7774566908152
1321833600,2.45,3,2.25,2.25,290.52677579,-392.3042324808152
1321920000,2.53,2.59,2.46,2.59,328.49334597,-63.81088651081518
1322092800,2.54,3,2.54,3,9.1446088,-54.66627771081518
1322179200,2.5,15,2.5,2.75,179.78726599,-227.26205306121517
1322265600,2.77,2.77,2.77,2.77,10.09025271,-227.26205306121517
1322438400,2.67,2.78,2.66,2.66,180.36714898,-407.6292020412152
1322524800,2.69,3.23,2.69,2.72,62.46464882,-463.15333432565956
1322611200,3.19,3.19,3.19,3.19,14.53918495,-463.15333432565956
1322697600,3.46,3.48,3.3,3.42,233.78003348,-385.2266564989929
1322784000,3.45,3.45,3.04,3.04,131.75704022,-516.9836967189929
1322870400,2.93,2.93,2.93,2.93,0.5,-516.9836967189929
1323043200,2.82,2.99,2.82,2.93,207.3632656,-455.99450095428676
